Naira/GBP,Naira/USD,Naira/Yuan
254.7,155.23,25.2
254.18,155.23,25.2
252.69,155.23,25.2
249.78,155.23,25.21
249.32,155.23,25.24
249.63,155.24,25.24
251.51,155.24,25.22
251.19,155.24,25.19
251.41,155.24,25.18
250.77,155.24,25.2
252.64,155.25,25.2
252.72,155.25,25.2
252.97,155.25,25.2
252.86,155.25,25.21
253.96,155.25,25.21
253.9,155.25,25.22
252.06,155.25,25.25
252.38,155.25,25.16
251.28,155.25,25.21
250.43,155.25,25.21
249.7,155.25,25.2
248.9,155.25,25.2
248.73,155.25,25.24
250.9,155.25,25.24
248.36,155.25,25.26
249.1,155.25,25.26
246.35,155.25,25.26
246.44,155.25,25.27
247.41,155.25,25.27
249.52,155.26,25.27
249.63,155.26,25.28
249.97,155.26,25.29
248.41,155.26,25.29
248.1,155.26,25.3
248.45,155.26,25.3
249.32,155.26,25.31
249.43,155.26,25.32
249.41,155.26,25.31
247.41,155.26,25.32
247.74,155.26,25.29
247.69,155.26,25.31
247.65,155.26,25.32
246.1,155.28,25.33
246.84,155.28,25.28
244.92,155.3,25.3
246.26,155.3,25.28
245.78,155.3,25.36
245.97,155.35,25.37
244.72,155.35,25.35
243.26,155.89,25.4
243.39,155.89,25.41
243.72,155.89,25.72
246.87,156.09,25.7
246.87,156.09,25.7
246.57,157.91,26.29
253.46,157.91,26.31
253.18,157.91,26.71
258.23,162,26.71
258.55,162,26.69
257.58,164.5,27.14
262.31,164.5,27.15
261.81,164.5,26.46
261.67,167.5,27.13
261.84,167.5,27.15
261.94,167.5,27.05
260.84,167.5,26.98
261.15,167.5,27.04
261.89,167.5,26.98
261.96,167.5,26.99
262.42,167.5,26.97
261.46,167.5,26.95
262.57,167.5,26.87
261.22,167.5,26.85
261.02,167.5,26.84
260.79,167.5,26.82
259.84,167.5,26.87
259.58,167.5,26.83
259.63,167.5,26.92
259.63,167.5,26.9
260.69,167.5,26.84
255.4,167.5,26.88
254.57,167.5,26.88
253.48,167.5,26.87
252.34,167.5,26.9
253.68,167.5,26.92
253.71,167.5,26.94
253.85,167.5,26.95
254.47,167.5,26.99
255.32,167.5,26.9
254.58,167.5,26.85
254.01,167.5,26.87
253.65,167.5,26.46
253.21,167.5,26.9
254.38,167.5,26.81
250.85,167.5,26.7
251.48,167.5,26.74
252.74,167.5,26.73
254.72,167.5,26.73
253.44,167.5,26.72
252.71,167.5,26.68
251.55,167.5,26.68
252.51,167.5,26.73
254.87,167.5,26.46
255.44,167.5,26.74
256.98,167.5,26.73
255.02,167.5,26.76
254.8,167.5,26.75
256.21,167.5,26.74
257.01,167.5,26.76
257.73,167.5,26.72
257.6,167.5,26.7
257.68,167.5,26.7
258.4,198.5,31.65
306.82,198.5,31.65
305.02,198.5,31.65
304.84,197.5,31.22
320.56,197.5,31.47
305.97,197.5,31.47
306.52,197.5,31.42
304.92,197.3,31.37
303.82,197.3,31.36
302.95,196.5,31.25
301.43,196.5,31.28
299.43,196.5,31.29
298.33,196.5,31.29
296.87,196.5,31.3
295.67,196.5,31.29
295.91,196.5,31.29
294.49,196.5,31.31
290.72,196.5,31.29
290.7,196.5,31.36
289.96,196.5,31.46
287.66,196.5,31.63
292.59,196.5,31.58
290.58,196.5,31.54
292.79,196.5,31.58
293.43,196.5,31.55
293.22,196.5,31.55
293.49,196.5,31.53
292.86,196.5,31.57
290.78,196.5,31.61
290.23,196.5,31.62
290.25,196.5,31.63
291.15,196.5,31.63
292.55,196.5,31.6
293.89,196.5,32
292.39,196.5,31.57
287.87,196.5,31.52
287.2,196.5,31.55
287.75,196.5,31.58
290.09,196.5,31.62
293.1,196.5,31.6
293.2,196.5,31.6
292.71,196.5,31.64
296.26,196.5,31.62
295.2,196.5,31.64
297.82,196.5,31.51
297.03,196.5,31.59
300.57,196.5,31.61
301.8,196.5,31.59
303.22,196.5,31.56
296.6,196.5,31.58
297.21,196.5,31.61
299.31,196.5,31.58
298.96,196.5,31.56
302.85,196.5,31.56
304.54,196.5,31.57
308.27,196.5,31.59
307.46,196.5,31.6
310.63,196.5,31.58
308.64,196.5,31.59
307.92,196.5,31.58
304.32,196.5,31.59
305.18,196.5,31.62
308.19,196.5,31.62
307.33,196.5,31.6
303.77,196.5,31.59
302.83,196.5,31.6
302.08,196.5,31.6
300.21,196.45,31.6
298.8,196.45,31.61
299.1,196.45,31.61
300.35,196.45,31.6
302.38,196.45,31.58
301.26,196.4,31.57
299.73,196.4,31.56
300.35,196.4,31.57
304.22,196.4,31.56
303.38,196.4,31.56
304.18,196.4,31.55
304.54,196.4,31.55
306.76,196.4,31.54
308.94,196.4,31.55
312.47,196.4,31.54
311.2,196.4,31.54
310.67,196.4,31.56
309.9,196.4,31.55
309.49,196.4,31.54
308.9,196.4,31.55
308.98,196.45,31.56
308.74,196.45,31.59
308.72,196.45,31.59
307.52,196.45,31.58
306.01,196.45,31.57
307.07,196.45,31.56
305.58,196.45,31.55
303.26,196.45,31.56
302.1,196.45,31.55
302.63,196.45,31.56
305.19,196.45,31.56
305.03,196.45,31.56
305.91,196.45,31.55
306.95,196.45,31.56
305.74,196.5,31.56
305.54,196.5,31.56
307.09,196.5,31.56
306.72,196.5,31.56
304.1,196.5,31.56
305.01,196.5,31.56
306.19,196.5,31.57
307.4,196.5,31.56
307.25,196.5,31.56
305.91,196.5,31.56
306.07,196.5,31.56
306.91,196.5,31.56
307.17,196.5,31.56
304.42,196.5,31.56
304.89,196.5,31.56
304.61,196.5,30.98
306.44,196.5,30.67
306.52,196.5,30.63
307.13,196.5,30.66
307.21,196.5,30.64
307.09,196.5,30.65
308.39,196.5,30.64
307.86,196.5,30.67
307.78,196.5,30.68
307.94,196.5,30.6
309.43,196.5,30.56
310.23,196.5,30.56
306.17,196.5,30.59
303.65,196.5,30.67
302.32,196.5,30.74
302.77,196.5,30.79
301.43,196.5,30.83
300.13,196.5,30.83
300.25,196.5,30.83
299.31,196.5,30.78
299.76,196.5,30.77
302.87,196.5,30.73
301.73,196.5,30.73
302.55,196.5,30.74
302.9,196.5,30.77
302.77,196.5,30.76
302.89,196.5,30.76
303.46,196.5,30.78
305.01,196.5,30.79
307.17,196.5,30.77
305.11,196.5,30.73
303.38,196.5,30.7
300.66,196.5,30.77
298.4,196.5,30.79
297.72,196.45,30.82
298.17,196.45,30.83
297.82,196.5,30.84
298.44,196.5,30.84
298.17,196.5,30.84
300.8,196.5,30.85
300.43,196.5,30.89
301.43,196.48,30.98
301.99,196.48,30.9
298.98,196.48,30.87
302.15,196.5,30.88
304.14,196.5,30.85
303.46,196.5,30.81
304.3,196.48,30.87
303.97,196.48,30.86
303.62,196.5,30.82
303.97,196.5,30.87
302.89,196.47,30.84
301.54,196.47,30.84
301.33,196.47,30.81
300.3,196.5,30.83
299.94,196.5,31.02
301.73,196.48,30.92
303.95,196.48,30.93
302.48,196.48,30.93
302.99,196.5,30.88
301.31,196.5,30.85
297.25,196.48,30.8
296.76,196.48,30.8
297.18,196.48,30.78
298.47,196.5,30.77
298.5,196.5,30.75
299.09,196.5,30.76
298.66,196.47,30.71
298.73,196.47,30.68
298.83,196.5,30.7
299.9,196.5,30.69
299.62,196.5,30.67
297.32,196.5,30.67
296.91,196.5,30.67
296.09,196.5,30.67
296.42,196.5,30.65
